infile,outfile,x,y,width,height
039.png,affix-phrases/aboveground.png,48,38,143,97
039.png,affix-phrases/layabout.png,263,30,123,80
039.png,affix-phrases/antidote.png,437,39,117,87
039.png,affix-phrases/automobile.png,576,39,146,96
039.png,affix-phrases/await.png,771,33,80,92
039.png,affix-phrases/goaway.png,905,45,100,108
039.png,affix-phrases/circulate.png,1055,38,94,94
039.png,affix-phrases/circumscribe.png,1184,39,118,107
039.png,affix-phrases/compose.png,47,152,147,96
039.png,affix-phrases/construct.png,218,153,154,96
039.png,affix-phrases/contradiction.png,404,149,150,114
039.png,affix-phrases/disparage.png,593,158,144,99
039.png,affix-phrases/destitute.png,761,167,124,94
039.png,affix-phrases/peach.png,905,165,111,78
039.png,affix-phrases/infect.png,1064,156,96,93
039.png,affix-phrases/infection.png,1181,159,120,86
039.png,affix-phrases/spiteful.png,36,258,138,95
039.png,affix-phrases/spitefulness.png,206,257,129,106
039.png,affix-phrases/graphic.png,371,252,120,102
039.png,affix-phrases/grammar.png,536,267,100,86
039.png,affix-phrases/sluthood.png,668,276,81,107
039.png,affix-phrases/pacify.png,792,261,108,83
039.png,affix-phrases/pacification.png,929,263,112,99
039.png,affix-phrases/guileless.png,1065,261,138,72
039.png,affix-phrases/guilelessness.png,1212,264,134,68
039.png,affix-phrases/biology.png,53,377,103,103
039.png,affix-phrases/illogical.png,203,368,106,97
039.png,affix-phrases/misrepresent.png,353,363,178,96
039.png,affix-phrases/mismanagement.png,540,365,119,94
039.png,affix-phrases/cleanliness.png,701,380,141,69
039.png,affix-phrases/overdone.png,888,374,128,90
039.png,affix-phrases/otherwise.png,1020,378,107,84
039.png,affix-phrases/outspoken.png,1140,372,116,92
039.png,affix-phrases/selfpublish.png,44,494,168,91
039.png,affix-phrases/semitruck.png,255,480,150,98
039.png,affix-phrases/battleship.png,446,473,106,96
039.png,affix-phrases/shipment.png,572,480,90,78
039.png,affix-phrases/subway.png,698,474,81,90
039.png,affix-phrases/subject.png,798,468,95,96
039.png,affix-phrases/supersonic.png,920,474,151,90
039.png,affix-phrases/superluminal.png,1094,473,175,99
039.png,affix-phrases/transit.png,47,608,103,82
039.png,affix-phrases/transfer.png,171,596,92,90
039.png,affix-phrases/undergo.png,314,597,114,98
039.png,affix-phrases/blunder.png,453,600,104,92
039.png,affix-phrases/forever.png,594,584,114,90
039.png,affix-phrases/everybody.png,732,575,104,97
039.png,affix-phrases/variable.png,864,573,114,98
039.png,affix-phrases/verygood.png,1019,587,118,78
039.png,affix-phrases/toward.png,50,717,94,102
039.png,affix-phrases/downwards.png,150,723,141,96
039.png,affix-phrases/warden.png,311,714,96,96
039.png,affix-phrases/wardaway.png,416,713,108,96
