infile,outfile,x,y,width,height
040.png,lesson-3/every-corpse-1.png,45,84,909,94
040.png,lesson-3/every-corpse-2.png,43,250,875,77
041.png,lesson-3/bonfire-1.png,76,108,723,68
041.png,lesson-3/bonfire-2.png,75,289,722,70
042.png,lesson-3/homo-intended-1.png,53,94,869,77
042.png,lesson-3/homo-intended-2.png,67,243,960,71
042.png,lesson-3/homo-intended-3.png,264,396,668,71
042.png,lesson-3/homo-intended-4.png,98,552,751,77
042.png,lesson-3/homo-intended-5.png,81,715,865,55
042.png,lesson-3/homo-intended-6.png,68,878,557,78
043.png,lesson-3/subway-1.png,0,26,1209,80
043.png,lesson-3/subway-2.png,0,109,1209,80
043.png,lesson-3/subway-3.png,0,187,1209,85
043.png,lesson-3/subway-4.png,0,270,1209,88
043.png,lesson-3/subway-5.png,0,356,1209,94
