infile,outfile,x,y,width,height
048.png,part-2/passage-1-line-01.png,0,28,1080,51
048.png,part-2/passage-1-line-02.png,0,81,1080,60
048.png,part-2/passage-1-line-03.png,0,141,1080,65
048.png,part-2/passage-1-line-04.png,0,204,650,67
048.png,part-2/passage-1-line-05.png,0,300,1080,71
048.png,part-2/passage-1-line-06.png,0,364,1080,56
048.png,part-2/passage-1-line-07.png,0,418,1080,76
048.png,part-2/passage-1-line-08.png,0,481,1080,74
048.png,part-2/passage-1-line-09.png,0,569,200,58
048.png,part-2/passage-1-line-10.png,0,645,1080,69
048.png,part-2/passage-1-line-11.png,0,715,1080,67
048.png,part-2/passage-1-line-12.png,0,775,1080,67
048.png,part-2/passage-1-line-13.png,0,824,1080,65
048.png,part-2/passage-1-line-14.png,0,890,550,52
049.png,part-2/passage-2-line-01.png,42,68,849,58
049.png,part-2/passage-2-line-02.png,47,165,781,57
049.png,part-2/passage-2-line-03.png,42,275,804,56
049.png,part-2/passage-2-line-04.png,46,385,845,55
049.png,part-2/passage-2-line-05.png,59,486,210,50
050.png,part-2/passage-3-line-01.png,50,27,1512,92
050.png,part-2/passage-3-line-02.png,50,122,1512,76
050.png,part-2/passage-3-line-03.png,50,204,1512,80
050.png,part-2/passage-3-line-04.png,50,277,1512,85
050.png,part-2/passage-3-line-05.png,50,360,1512,72
050.png,part-2/passage-3-line-06.png,50,428,746,93
050.png,part-2/passage-3-line-07.png,50,542,1512,87
050.png,part-2/passage-3-line-08.png,50,626,1512,78
050.png,part-2/passage-3-line-09.png,50,705,1512,74
050.png,part-2/passage-3-line-10.png,50,777,1512,83
050.png,part-2/passage-3-line-11.png,50,844,1512,107
050.png,part-2/passage-3-line-12.png,50,962,156,81
051.png,part-2/passage-4-line-01.png,30,98,1424,70
051.png,part-2/passage-4-line-02.png,30,247,1403,79
051.png,part-2/passage-4-line-03.png,30,383,1400,78
051.png,part-2/passage-4-line-04.png,160,543,1386,71
051.png,part-2/passage-4-line-05.png,30,684,341,69
